title,genres,release_date,runtime,budget,revenue,director,popularity,vote_average,vote_count,overview
Terrifier 3,"['Horror', 'Thriller', 'Mystery']",2024-10-09,125,2000000,59156753,Brad Miska,6883.159,7.3,601,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe."
Venom: The Last Dance,"['Science Fiction', 'Action', 'Adventure']",2024-10-22,109,120000000,310000000,David Michelinie,5590.757,6.696,479,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance."
The Wild Robot,"['Animation', 'Science Fiction', 'Family']",2024-09-12,102,78000000,269785520,Dean DeBlois,4321.421,8.546,2392,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
The Substance,"['Drama', 'Horror', 'Science Fiction']",2024-09-07,141,17500000,42776354,Anne Juin,2881.789,7.319,1384,"Have you ever dreamt of a better version of yourself? You, only better in every way. You should try this new product, it's called The Substance. IT CHANGED MY LIFE."
Joker: Folie à Deux,"['Drama', 'Crime', 'Thriller']",2024-10-01,138,195000000,200714058,Bill Finger,2614.505,5.682,1350,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him."
Transformers One,"['Animation', 'Science Fiction', 'Adventure', 'Family']",2024-09-11,104,75000000,124530200,Rob Coleman,2550.704,8.169,534,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever."
The Count of Monte-Cristo,"['Adventure', 'History', 'Action', 'Drama', 'Romance', 'Thriller']",2024-06-28,178,46700000,73924182,Chloé Van Lierde,2126.371,8.335,735,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him."
Alien: Romulus,"['Science Fiction', 'Horror']",2024-08-13,119,80000000,350752564,Fede Álvarez,1992.724,7.267,2132,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe."
Venom,"['Science Fiction', 'Action']",2018-09-28,112,116000000,856085151,Monique Ganderton,1917.653,6.835,15881,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own."
Deadpool & Wolverine,"['Action', 'Comedy', 'Science Fiction']",2024-07-24,128,200000000,1336816112,Shawn Levy,1885.377,7.706,5032,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine."
